Frequency (Hz)	Level (dB)
149.414063	-38.356647
149.658203	-39.701836
149.902344	-36.438694
150.146484	-39.649681
150.390625	-41.729568
150.634766	-44.413601
150.878906	-41.690411
151.123047	-39.601585
151.367188	-40.814800
151.611328	-37.401089
151.855469	-35.355446
152.099609	-35.917992
152.343750	-39.387344
152.587891	-45.064484
152.832031	-47.533478
153.076172	-46.465736
153.320313	-43.131157
153.564453	-41.422997
153.808594	-35.061905
154.052734	-33.076077
154.296875	-39.765335
154.541016	-42.938305
154.785156	-42.608696
155.029297	-44.272198
155.273438	-43.556198
155.517578	-41.707794
155.761719	-36.934837
156.005859	-35.964912
156.250000	-34.476460
156.494141	-39.019932
156.738281	-42.827152
156.982422	-41.506512
157.226563	-40.653778
157.470703	-38.072468
157.714844	-38.180489
157.958984	-32.592022
158.203125	-33.985176
158.447266	-39.217308
158.691406	-41.251472
158.935547	-40.071674
159.179688	-37.831375
159.423828	-39.615788
159.667969	-35.113880
159.912109	-32.583092
160.156250	-32.278584
160.400391	-32.806610
160.644531	-38.669464
160.888672	-38.231209
161.132813	-38.304695
161.376953	-37.802959
161.621094	-35.518879
161.865234	-30.450279
162.109375	-26.480843
162.353516	-32.079384
162.597656	-36.552986
162.841797	-34.917568
163.085938	-31.967005
163.330078	-33.533104
163.574219	-35.458260
163.818359	-28.525919
164.062500	-29.916826
164.306641	-28.375858
164.550781	-30.586763
164.794922	-33.960663
165.039063	-32.565929
165.283203	-34.608578
165.527344	-36.434116
165.771484	-36.432835
166.015625	-31.698792
166.259766	-31.624104
166.503906	-41.239567
166.748047	-44.531437
166.992188	-37.290833
167.236328	-35.322380
167.480469	-40.618526
167.724609	-38.847004
167.968750	-35.443733
168.212891	-34.030689
168.457031	-38.076714
168.701172	-38.497425
168.945313	-41.997627
169.189453	-41.218857
169.433594	-41.037922
169.677734	-36.374905
169.921875	-37.909210
170.166016	-35.397823
170.410156	-38.546337
170.654297	-36.603809
170.898438	-38.668816
171.142578	-36.740982
171.386719	-38.609787
171.630859	-36.631058
171.875000	-36.701237
172.119141	-33.257969
172.363281	-33.841789
172.607422	-35.103313
172.851563	-35.382576
173.095703	-36.959724
173.339844	-36.509548
173.583984	-35.530121
173.828125	-34.166599
174.072266	-33.090553
174.316406	-31.007421
174.560547	-35.671688
174.804688	-34.233166
175.048828	-39.416058
175.292969	-38.650677
175.537109	-42.707615
175.781250	-41.181187
176.025391	-41.585804
176.269531	-39.335102
176.513672	-40.552483
176.757813	-42.522160
177.001953	-44.555531
177.246094	-42.974785
177.490234	-45.635677
177.734375	-44.404446
177.978516	-43.967209
178.222656	-38.691437
178.466797	-40.489536
178.710938	-42.227158
178.955078	-43.283581
179.199219	-52.916328
179.443359	-53.273117
179.687500	-49.130520
179.931641	-43.503033
180.175781	-39.969776
180.419922	-40.375263
180.664063	-46.199238
180.908203	-48.194397
181.152344	-50.511147
181.396484	-49.262482
181.640625	-49.040569
181.884766	-48.555950
182.128906	-42.303982
182.373047	-38.721302
182.617188	-44.019871
182.861328	-45.747059
183.105469	-48.376842
183.349609	-51.969940
183.593750	-51.395874
183.837891	-49.841885
184.082031	-46.056633
184.326172	-41.268013
184.570313	-42.116482
184.814453	-44.997135
185.058594	-46.631588
185.302734	-48.333447
185.546875	-50.687195
185.791016	-46.589531
186.035156	-46.305401
186.279297	-43.775105
186.523438	-43.162231
186.767578	-44.847549
187.011719	-45.293442
187.255859	-52.624580
187.500000	-54.545067
187.744141	-54.649651
187.988281	-47.459972
188.232422	-40.974850
188.476563	-39.050423
188.720703	-45.271137
188.964844	-51.922428
189.208984	-50.281120
189.453125	-47.044159
189.697266	-49.088547
189.941406	-47.736641
190.185547	-45.249844
190.429688	-42.238304
190.673828	-45.806660
190.917969	-45.234581
191.162109	-47.107479
191.406250	-50.801723
191.650391	-48.749222
191.894531	-47.915600
192.138672	-45.671173
192.382813	-41.299843
192.626953	-42.286564
192.871094	-46.767555
193.115234	-47.199139
193.359375	-50.687923
193.603516	-53.191010
193.847656	-51.860977
194.091797	-49.498775
194.335938	-44.406593
194.580078	-42.743378
194.824219	-45.831963
195.068359	-49.810520
195.312500	-50.586319
195.556641	-51.473843
195.800781	-48.990036
196.044922	-48.316334
196.289063	-45.471603
196.533203	-40.683517
196.777344	-43.547482
197.021484	-47.720318
197.265625	-49.506069
197.509766	-49.071388
197.753906	-50.394299
197.998047	-47.436279
198.242188	-48.194328
198.486328	-44.588840
198.730469	-45.683548
198.974609	-46.363819
199.218750	-48.008080
199.462891	-54.487522
199.707031	-51.986732
199.951172	-51.072601
200.195313	-48.062878
200.439453	-41.012611
200.683594	-40.223183
200.927734	-48.610973
201.171875	-52.797855
201.416016	-50.729824
201.660156	-49.457363
201.904297	-52.277786
202.148438	-51.476894
202.392578	-47.224140
202.636719	-43.932312
202.880859	-46.797935
203.125000	-46.048847
203.369141	-49.095577
203.613281	-50.560535
203.857422	-47.891754
204.101563	-46.840744
204.345703	-46.514351
204.589844	-41.905281
204.833984	-43.897709
205.078125	-47.455135
205.322266	-48.908360
205.566406	-49.386086
205.810547	-49.862083
206.054688	-49.378311
206.298828	-49.025730
206.542969	-41.522289
206.787109	-41.215382
207.031250	-46.383801
207.275391	-47.994225
207.519531	-52.286476
207.763672	-51.499416
208.007813	-49.501312
208.251953	-48.653248
208.496094	-42.402264
208.740234	-39.697773
208.984375	-45.356361
209.228516	-48.474155
209.472656	-48.365334
209.716797	-47.094807
209.960938	-48.152283
210.205078	-45.014984
210.449219	-46.438965
210.693359	-41.882626
210.937500	-44.312115
211.181641	-43.146278
211.425781	-45.790436
211.669922	-47.791782
211.914063	-45.318913
212.158203	-44.200684
212.402344	-45.186821
212.646484	-41.282917
212.890625	-42.107761
213.134766	-47.853584
213.378906	-48.819347
213.623047	-48.827873
213.867188	-48.324596
214.111328	-48.798248
214.355469	-47.828228
214.599609	-39.124424
214.843750	-36.884212
215.087891	-42.552788
215.332031	-45.063995
215.576172	-48.144756
215.820313	-46.321388
216.064453	-43.971775
216.308594	-42.701714
216.552734	-43.075432
216.796875	-39.763390
217.041016	-42.823879
217.285156	-44.010479
217.529297	-44.142288
217.773438	-42.948544
218.017578	-43.285183
218.261719	-39.421535
218.505859	-40.276176
218.750000	-35.738163
218.994141	-37.023251
219.238281	-39.975925
219.482422	-41.809509
219.726563	-41.842495
219.970703	-39.506721
220.214844	-39.739254
220.458984	-42.181301
220.703125	-37.356052
220.947266	-36.258457
221.191406	-43.394341
221.435547	-43.970356
221.679688	-44.489601
221.923828	-47.295795
222.167969	-45.261436
222.412109	-44.411922
222.656250	-41.840576
222.900391	-38.076809
223.144531	-42.742432
223.388672	-45.012074
223.632813	-47.739769
223.876953	-49.265594
224.121094	-45.875851
224.365234	-41.318398
224.609375	-45.162312
224.853516	-43.685917
225.097656	-44.888138
225.341797	-44.234653
225.585938	-44.363766
225.830078	-47.299435
226.074219	-50.614944
226.318359	-45.684818
226.562500	-45.827988
226.806641	-42.168034
227.050781	-42.298347
227.294922	-49.378586
227.539063	-50.878704
227.783203	-49.653091
228.027344	-48.579693
228.271484	-50.705833
228.515625	-50.469524
228.759766	-45.076607
229.003906	-43.368389
229.248047	-48.305420
229.492188	-49.438133
229.736328	-50.707073
229.980469	-51.379509
230.224609	-50.089798
230.468750	-46.425934
230.712891	-46.268234
230.957031	-44.308243
231.201172	-47.639130
231.445313	-50.278511
231.689453	-51.360542
231.933594	-53.946030
232.177734	-51.841148
232.421875	-47.681980
232.666016	-48.020168
232.910156	-45.111649
233.154297	-45.787079
233.398438	-46.774448
233.642578	-46.630219
233.886719	-48.894623
234.130859	-50.848793
234.375000	-50.823837
234.619141	-50.965141
234.863281	-46.910397
235.107422	-45.334026
235.351563	-48.303696
235.595703	-49.585842
235.839844	-52.041969
236.083984	-55.832420
236.328125	-55.375366
236.572266	-55.031651
236.816406	-50.809582
237.060547	-45.467953
237.304688	-46.978767
237.548828	-51.135807
237.792969	-48.899231
238.037109	-46.903088
238.281250	-49.233086
238.525391	-48.817425
238.769531	-49.226986
239.013672	-47.102005
239.257813	-48.333584
239.501953	-47.527927
239.746094	-47.662239
239.990234	-47.890755
240.234375	-47.421539
240.478516	-49.154369
240.722656	-48.737385
240.966797	-47.377098
241.210938	-48.719231
241.455078	-49.247414
241.699219	-48.665813
241.943359	-51.011833
242.187500	-51.443153
242.431641	-50.232048
242.675781	-47.205051
242.919922	-44.134743
243.164063	-43.426216
243.408203	-47.543987
243.652344	-51.993328
243.896484	-49.509384
244.140625	-46.399181
244.384766	-45.514454
244.628906	-45.230598
244.873047	-46.331097
245.117188	-48.214775
245.361328	-50.141289
245.605469	-49.357410
245.849609	-49.699989
246.093750	-51.747746
246.337891	-49.672836
246.582031	-50.193733
246.826172	-51.571087
247.070313	-45.254219
247.314453	-45.034050
247.558594	-50.513573
247.802734	-50.563446
248.046875	-51.027760
248.291016	-53.754948
248.535156	-54.391598
248.779297	-55.574371
249.023438	-49.071747
249.267578	-45.394047
249.511719	-47.344700
249.755859	-51.425339
250.000000	-49.678249
250.244141	-49.937000
250.488281	-52.398403
250.732422	-48.446251
250.976563	-49.012695
251.220703	-46.134472
251.464844	-49.352692
251.708984	-50.078148
251.953125	-50.858353
252.197266	-48.692081
252.441406	-47.150570
252.685547	-47.611591
252.929688	-47.118031
253.173828	-46.858723
253.417969	-48.713810
253.662109	-51.411274
253.906250	-50.742458
254.150391	-52.167309
254.394531	-52.582748
254.638672	-51.020752
254.882813	-49.898720
255.126953	-43.176380
255.371094	-41.372150
255.615234	-47.494282
255.859375	-50.012939
256.103516	-49.193218
256.347656	-50.600807
256.591797	-47.561592
256.835938	-46.327244
257.080078	-44.478931
257.324219	-43.440620
257.568359	-45.815079
257.812500	-47.389084
258.056641	-45.855843
258.300781	-47.975594
258.544922	-47.787769
258.789063	-44.349701
259.033203	-44.576450
259.277344	-39.594795
259.521484	-40.846539
259.765625	-44.835678
260.009766	-46.286545
260.253906	-45.464848
