Frequency (Hz)	Level (dB)
104.003906	-35.238686
104.248047	-35.643623
104.492188	-35.241879
104.736328	-35.877811
104.980469	-38.088684
105.224609	-40.086761
105.468750	-40.183376
105.712891	-40.055618
105.957031	-41.141273
106.201172	-42.597458
106.445313	-42.636829
106.689453	-42.160412
106.933594	-41.870037
107.177734	-41.718349
107.421875	-41.478107
107.666016	-40.933853
107.910156	-41.501575
108.154297	-43.030636
108.398438	-43.194202
108.642578	-42.323395
108.886719	-42.763813
109.130859	-42.838772
109.375000	-42.336926
109.619141	-41.798710
109.863281	-43.747498
110.107422	-42.906219
110.351563	-42.010586
110.595703	-40.999687
110.839844	-40.922363
111.083984	-42.463039
111.328125	-44.304760
111.572266	-42.434124
111.816406	-41.580299
112.060547	-41.577473
112.304688	-42.418125
112.548828	-43.341122
112.792969	-43.584152
113.037109	-43.244991
113.281250	-43.020359
113.525391	-42.998089
113.769531	-44.152046
114.013672	-43.754726
114.257813	-42.999580
114.501953	-41.502335
114.746094	-40.813515
114.990234	-40.397182
115.234375	-39.866241
115.478516	-39.374752
115.722656	-39.631027
115.966797	-37.874134
116.210938	-33.123459
116.455078	-29.538660
116.699219	-28.370569
116.943359	-29.678471
117.187500	-33.146759
117.431641	-35.044640
117.675781	-35.142967
117.919922	-36.992569
118.164063	-39.859398
118.408203	-40.015480
118.652344	-38.532627
118.896484	-37.968174
119.140625	-39.570045
119.384766	-41.520729
119.628906	-40.694904
119.873047	-39.287094
120.117188	-39.366310
120.361328	-40.774147
120.605469	-41.988232
120.849609	-41.798058
121.093750	-40.040920
121.337891	-39.262543
121.582031	-40.264420
121.826172	-41.074368
122.070313	-39.971645
122.314453	-38.649624
122.558594	-39.782570
122.802734	-41.108242
123.046875	-40.515022
123.291016	-39.833313
123.535156	-40.505547
123.779297	-41.047882
124.023438	-41.006775
124.267578	-40.476330
124.511719	-40.668045
124.755859	-40.871662
125.000000	-40.914421
125.244141	-40.675842
125.488281	-41.002544
125.732422	-41.143764
125.976563	-41.646801
126.220703	-41.542480
126.464844	-41.789650
126.708984	-41.034035
126.953125	-41.619900
127.197266	-42.840050
127.441406	-44.320835
127.685547	-44.348434
127.929688	-42.592503
128.173828	-41.721973
128.417969	-42.595772
128.662109	-43.093250
128.906250	-42.733070
129.150391	-42.843582
129.394531	-43.277557
129.638672	-42.003792
129.882813	-40.069546
130.126953	-38.720249
130.371094	-38.814495
130.615234	-39.158024
130.859375	-37.438717
131.103516	-35.633450
131.347656	-36.287186
131.591797	-38.759193
131.835938	-40.833855
132.080078	-42.267456
132.324219	-43.123650
132.568359	-43.123062
132.812500	-43.699310
133.056641	-45.046154
133.300781	-44.933525
133.544922	-44.709049
133.789063	-45.673748
134.033203	-45.382931
134.277344	-46.502766
134.521484	-46.085304
134.765625	-45.230366
135.009766	-45.295307
135.253906	-46.672085
135.498047	-46.606358
135.742188	-46.069336
135.986328	-45.292751
136.230469	-45.467930
136.474609	-45.935001
136.718750	-44.978527
136.962891	-44.413612
137.207031	-45.207699
137.451172	-45.204967
137.695313	-44.125130
137.939453	-44.208500
138.183594	-45.230587
138.427734	-45.348141
138.671875	-44.891792
138.916016	-44.380302
139.160156	-44.445843
139.404297	-45.971321
139.648438	-46.331509
139.892578	-46.551933
140.136719	-46.423965
140.380859	-45.469009
140.625000	-45.655148
140.869141	-46.228657
141.113281	-46.078449
141.357422	-45.029083
141.601563	-44.122776
141.845703	-44.192554
142.089844	-45.320766
142.333984	-44.858303
142.578125	-43.772797
142.822266	-44.317223
143.066406	-45.793808
143.310547	-46.538059
143.554688	-45.298168
143.798828	-45.299923
144.042969	-45.515228
144.287109	-45.084194
144.531250	-45.066387
144.775391	-45.172752
145.019531	-45.795540
145.263672	-46.730709
145.507813	-46.198750
145.751953	-43.350338
145.996094	-41.710308
146.240234	-42.156303
146.484375	-42.038574
146.728516	-38.986668
146.972656	-35.772282
147.216797	-34.496601
147.460938	-35.483685
147.705078	-38.454956
147.949219	-42.112782
148.193359	-40.849560
148.437500	-38.705055
148.681641	-39.301090
148.925781	-41.533699
149.169922	-43.023106
149.414063	-42.875828
149.658203	-43.150669
149.902344	-43.852840
150.146484	-44.258282
150.390625	-44.866879
150.634766	-45.751549
150.878906	-46.287823
151.123047	-46.722599
151.367188	-45.911324
151.611328	-45.149078
151.855469	-45.772629
152.099609	-46.686783
152.343750	-46.403343
152.587891	-45.899731
152.832031	-45.920990
153.076172	-45.723026
153.320313	-44.943901
153.564453	-44.784054
153.808594	-44.699924
154.052734	-43.848415
154.296875	-42.530788
154.541016	-42.121960
154.785156	-41.924473
155.029297	-41.357498
155.273438	-41.757202
155.517578	-42.452297
155.761719	-40.086739
156.005859	-36.997841
156.250000	-36.049088
156.494141	-37.141727
156.738281	-38.684174
156.982422	-40.284794
157.226563	-41.056789
157.470703	-41.023365
157.714844	-41.651779
157.958984	-43.073528
158.203125	-44.760830
158.447266	-45.277817
158.691406	-45.525139
158.935547	-45.629841
159.179688	-44.940334
159.423828	-44.711140
159.667969	-44.691792
159.912109	-44.872856
160.156250	-44.946262
160.400391	-46.353867
160.644531	-47.701782
160.888672	-48.056961
161.132813	-48.007393
161.376953	-47.305538
161.621094	-46.280930
161.865234	-45.049335
162.109375	-44.023842
162.353516	-43.850578
162.597656	-44.224819
162.841797	-44.336876
163.085938	-43.665668
163.330078	-44.111782
163.574219	-44.642460
163.818359	-44.705513
164.062500	-44.895885
164.306641	-45.157753
164.550781	-44.855267
164.794922	-44.308235
165.039063	-44.002224
165.283203	-44.477345
165.527344	-45.678356
165.771484	-46.262760
166.015625	-45.420830
166.259766	-45.253216
166.503906	-44.591118
166.748047	-44.058807
166.992188	-43.524635
167.236328	-43.491024
167.480469	-43.327240
167.724609	-42.434574
167.968750	-41.742207
168.212891	-41.555706
168.457031	-41.638645
168.701172	-41.366295
168.945313	-41.054123
169.189453	-41.191429
169.433594	-41.447865
169.677734	-41.767406
169.921875	-41.988655
170.166016	-43.135113
170.410156	-44.554386
170.654297	-44.670063
170.898438	-44.214249
171.142578	-43.381649
171.386719	-42.799828
171.630859	-42.344994
171.875000	-41.758972
172.119141	-41.991676
172.363281	-42.435177
172.607422	-41.717175
172.851563	-40.144405
173.095703	-38.417576
173.339844	-37.044884
173.583984	-35.849762
173.828125	-34.786781
174.072266	-33.584908
174.316406	-32.202213
174.560547	-30.909939
174.804688	-29.659351
175.048828	-28.407694
175.292969	-27.422405
175.537109	-26.869574
175.781250	-26.960033
176.025391	-27.844881
176.269531	-29.655901
176.513672	-32.087181
176.757813	-33.383850
177.001953	-34.093861
177.246094	-35.679417
177.490234	-37.909798
177.734375	-39.815563
177.978516	-39.850990
178.222656	-38.718891
178.466797	-37.443989
178.710938	-35.904259
178.955078	-34.329113
179.199219	-33.260208
179.443359	-32.899570
179.687500	-33.029228
179.931641	-33.381462
180.175781	-33.849434
180.419922	-34.312035
180.664063	-34.685574
180.908203	-35.090405
181.152344	-35.618332
181.396484	-36.127575
181.640625	-36.320599
181.884766	-36.251957
182.128906	-36.135677
182.373047	-36.319996
182.617188	-37.063702
182.861328	-38.214264
183.105469	-39.367470
183.349609	-40.377316
183.593750	-41.280342
183.837891	-41.613842
184.082031	-41.125355
184.326172	-39.818481
184.570313	-38.288101
184.814453	-37.027531
185.058594	-36.292088
185.302734	-36.192413
185.546875	-36.752449
185.791016	-37.789932
186.035156	-38.819695
186.279297	-39.525604
186.523438	-40.224876
186.767578	-41.195995
187.011719	-41.682217
187.255859	-40.936878
187.500000	-39.848660
187.744141	-38.990520
187.988281	-38.641449
188.232422	-38.886963
188.476563	-39.441620
188.720703	-39.928505
188.964844	-40.115055
189.208984	-40.173843
189.453125	-40.605469
189.697266	-41.134426
189.941406	-40.839539
190.185547	-39.658077
190.429688	-38.473309
190.673828	-37.728508
190.917969	-37.465714
191.162109	-37.580620
191.406250	-38.066319
191.650391	-39.125523
191.894531	-40.510403
192.138672	-41.533863
192.382813	-42.261646
192.626953	-43.250122
192.871094	-44.040695
193.115234	-43.700573
193.359375	-42.839081
193.603516	-42.104889
193.847656	-41.608246
194.091797	-41.103024
194.335938	-40.639683
194.580078	-40.236359
194.824219	-39.853359
195.068359	-40.048920
195.312500	-41.082920
195.556641	-42.150509
195.800781	-41.954216
196.044922	-40.814350
196.289063	-39.847824
196.533203	-39.096752
196.777344	-38.519665
197.021484	-38.406261
197.265625	-38.902924
197.509766	-39.608063
197.753906	-40.231190
197.998047	-40.736877
198.242188	-41.167858
198.486328	-41.675007
198.730469	-42.492954
198.974609	-43.282753
199.218750	-43.885025
199.462891	-44.665066
199.707031	-44.898975
199.951172	-44.471760
200.195313	-43.804695
200.439453	-43.087280
200.683594	-42.297924
200.927734	-41.939949
201.171875	-42.517159
201.416016	-43.322411
201.660156	-43.937740
201.904297	-44.275856
202.148438	-44.346794
202.392578	-44.272358
202.636719	-44.056126
202.880859	-43.999702
203.125000	-44.141293
203.369141	-43.946495
203.613281	-43.684006
203.857422	-43.939594
204.101563	-44.599300
204.345703	-45.589966
204.589844	-46.730709
204.833984	-46.250477
205.078125	-45.869022
205.322266	-45.283932
205.566406	-44.086349
205.810547	-42.990097
206.054688	-42.413605
206.298828	-42.621723
206.542969	-43.183853
206.787109	-43.439068
207.031250	-43.109947
207.275391	-42.492199
207.519531	-42.165779
207.763672	-42.162460
208.007813	-41.888672
208.251953	-41.160763
208.496094	-40.966877
